countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Argentina,Día Nacional de la Soberanía [National Sovereignty Day],Día Nacional de la Soberanía [National Sovereignty Day],,AR,2013-11-20
Mexico,Día de la Revolución [Revolution Day],Día de la Revolución [Revolution Day],,MX,2013-11-20
Japan,勤労感謝の日,勤労感謝の日,,JP,2013-11-23
Norway,Søndag,Søndag,,NO,2013-11-24
Sweden,Söndag,Söndag,,SE,2013-11-24
United States,Thanksgiving,Thanksgiving,True,US,2013-11-28
Scotland,St. Andrew's Day,St. Andrew's Day,,,2013-11-30
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,False,GB,2013-11-30
Norway,Søndag,Søndag,,NO,2013-12-01
Sweden,Söndag,Söndag,,SE,2013-12-01
Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,,FI,2013-12-06
Spain,Día de la constitución Española,Día de la constitución Española,,ES,2013-12-06
Argentina,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,AR,2013-12-08
Austria,Mariä Empfängnis,Mariä Empfängnis,,AT,2013-12-08
Italy,Immacolata Concezione,Immacolata Concezione,,IT,2013-12-08
Norway,Søndag,Søndag,,NO,2013-12-08
Portugal,Imaculada Conceição,Imaculada Conceição,,PT,2013-12-08
Spain,La Inmaculada Concepción,La Inmaculada Concepción,,ES,2013-12-08
Sweden,Söndag,Söndag,,SE,2013-12-08
Norway,Søndag,Søndag,,NO,2013-12-15
Sweden,Söndag,Söndag,,SE,2013-12-15
South Africa,Day of Reconciliation,Day of Reconciliation,,ZA,2013-12-16
Norway,Søndag,Søndag,,NO,2013-12-22
Sweden,Söndag,Söndag,,SE,2013-12-22
Japan,天皇誕生日,天皇誕生日,,JP,2013-12-23
Czech,Štědrý den,Štědrý den,,CZ,2013-12-24
Finland,Jouluaatto,Jouluaatto,,FI,2013-12-24
Hungary,Szenteste,Szenteste,,HU,2013-12-24
Sweden,Julafton,Julafton,,SE,2013-12-24
Argentina,Navidad [Christmas],Navidad [Christmas],,AR,2013-12-25
Australia,Christmas Day,Christmas Day,,AU,2013-12-25
Austria,Christtag,Christtag,,AT,2013-12-25
Belarus,Рождество Христово (католическое Рождество),Рождество Христово (католическое Рождество),,BY,2013-12-25
Belgium,Kerstmis,Kerstmis,,BE,2013-12-25
Brazil,Natal,Natal,,BR,2013-12-25
Canada,Christmas Day,Christmas Day,,CA,2013-12-25
Colombia,Navidad [Christmas],Navidad [Christmas],,CO,2013-12-25
Croatia,Božić,Božić,,HR,2013-12-25
Czech,1. svátek vánoční,1. svátek vánoční,,CZ,2013-12-25
Denmark,Juledag,Juledag,,DK,2013-12-25
England,Christmas Day,Christmas Day,,,2013-12-25
Finland,Joulupäivä,Joulupäivä,,FI,2013-12-25
France,Noël,Noël,,FR,2013-12-25
Germany,Erster Weihnachtstag,Erster Weihnachtstag,,DE,2013-12-25
Hungary,Karácsony,Karácsony,,HU,2013-12-25
India,Christmas,Christmas,False,IN,2013-12-25
Ireland,Christmas Day,Christmas Day,,IE,2013-12-25
Isle of Man,Christmas Day,Christmas Day,,IM,2013-12-25
Italy,Natale,Natale,,IT,2013-12-25
Mexico,Navidad [Christmas],Navidad [Christmas],,MX,2013-12-25
Netherlands,Eerste Kerstdag,Eerste Kerstdag,,NL,2013-12-25
New Zealand,Christmas Day,Christmas Day,,NZ,2013-12-25
Northern Ireland,Christmas Day,Christmas Day,,,2013-12-25
Norway,Første juledag,Første juledag,,NO,2013-12-25
Poland,Boże Narodzenie (pierwszy dzień),Boże Narodzenie (pierwszy dzień),,PL,2013-12-25
Portugal,Dia de Natal,Dia de Natal,,PT,2013-12-25
Scotland,Christmas Day,Christmas Day,,,2013-12-25
Slovenia,Božič,Božič,,SI,2013-12-25
South Africa,Christmas Day,Christmas Day,,ZA,2013-12-25
Spain,Navidad,Navidad,,ES,2013-12-25
Sweden,Juldagen,Juldagen,,SE,2013-12-25
Switzerland,Weihnachten,Weihnachten,,CH,2013-12-25
United Kingdom,Christmas Day,Christmas Day,True,GB,2013-12-25
United States,Christmas Day,Christmas Day,True,US,2013-12-25
Wales,Christmas Day,Christmas Day,,,2013-12-25
Australia,Boxing Day,Boxing Day,,AU,2013-12-26
Austria,Stefanitag,Stefanitag,,AT,2013-12-26
Canada,Boxing Day,Boxing Day,,CA,2013-12-26
Croatia,Sveti Stjepan,Sveti Stjepan,,HR,2013-12-26
Czech,2. svátek vánoční,2. svátek vánoční,,CZ,2013-12-26
Denmark,Anden juledag,Anden juledag,,DK,2013-12-26
England,Boxing Day,Boxing Day,,,2013-12-26
Finland,Tapaninpäivä,Tapaninpäivä,,FI,2013-12-26
Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,,DE,2013-12-26
Hungary,Karácsony másnapja,Karácsony másnapja,,HU,2013-12-26
Ireland,Boxing Day,Boxing Day,,IE,2013-12-26
Isle of Man,Boxing Day,Boxing Day,,IM,2013-12-26
Italy,Santo Stefano,Santo Stefano,,IT,2013-12-26
Netherlands,Tweede Kerstdag,Tweede Kerstdag,,NL,2013-12-26
New Zealand,Boxing Day,Boxing Day,,NZ,2013-12-26
Northern Ireland,Boxing Day,Boxing Day,,,2013-12-26
Norway,Andre juledag,Andre juledag,,NO,2013-12-26
Poland,Boże Narodzenie (drugi dzień),Boże Narodzenie (drugi dzień),,PL,2013-12-26
Scotland,Boxing Day,Boxing Day,,,2013-12-26
Slovenia,dan samostojnosti in enotnosti,dan samostojnosti in enotnosti,,SI,2013-12-26
South Africa,Day of Goodwill,Day of Goodwill,,ZA,2013-12-26
Sweden,Annandag jul,Annandag jul,,SE,2013-12-26
United Kingdom,Boxing Day,Boxing Day,True,GB,2013-12-26
Wales,Boxing Day,Boxing Day,,,2013-12-26
Hungary,Karácsony másnapja utáni pihenőnap,Karácsony másnapja utáni pihenőnap,,HU,2013-12-27
Norway,Søndag,Søndag,,NO,2013-12-29
Sweden,Söndag,Söndag,,SE,2013-12-29
Sweden,Nyårsafton,Nyårsafton,,SE,2013-12-31
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2014-01-01
Australia,New Year's Day,New Year's Day,,AU,2014-01-01
Austria,Neujahr,Neujahr,,AT,2014-01-01
Belarus,Новый год,Новый год,,BY,2014-01-01
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2014-01-01
Brazil,Ano novo,Ano novo,,BR,2014-01-01
Canada,New Year's Day,New Year's Day,,CA,2014-01-01
Colombia,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,CO,2014-01-01
Croatia,Nova Godina,Nova Godina,,HR,2014-01-01
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2014-01-01
Denmark,Nytårsdag,Nytårsdag,,DK,2014-01-01
England,New Year's Day,New Year's Day,,,2014-01-01
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2014-01-01
France,Jour de l'an,Jour de l'an,,FR,2014-01-01
Germany,Neujahr,Neujahr,,DE,2014-01-01
Hungary,Újév,Újév,,HU,2014-01-01
Ireland,New Year's Day,New Year's Day,,IE,2014-01-01
Isle of Man,New Year's Day,New Year's Day,,IM,2014-01-01
Italy,Capodanno,Capodanno,,IT,2014-01-01
Japan,元日,元日,,JP,2014-01-01
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2014-01-01
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2014-01-01
New Zealand,New Year's Day,New Year's Day,,NZ,2014-01-01
Northern Ireland,New Year's Day,New Year's Day,,,2014-01-01
Norway,Første nyttårsdag,Første nyttårsdag,,NO,2014-01-01
Poland,Nowy Rok,Nowy Rok,,PL,2014-01-01
Portugal,Ano Novo,Ano Novo,,PT,2014-01-01
Scotland,New Year's Day,New Year's Day,,,2014-01-01
Slovenia,novo leto,novo leto,,SI,2014-01-01
South Africa,New Year's Day,New Year's Day,,ZA,2014-01-01
Spain,Año nuevo,Año nuevo,,ES,2014-01-01
Sweden,Nyårsdagen,Nyårsdagen,,SE,2014-01-01
Switzerland,Neujahrestag,Neujahrestag,,CH,2014-01-01
Ukraine,Новий рік,Новий рік,,UA,2014-01-01
United Kingdom,New Year's Day,New Year's Day,True,GB,2014-01-01
United States,New Year's Day,New Year's Day,True,US,2014-01-01
Wales,New Year's Day,New Year's Day,,,2014-01-01
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2014-01-02
Scotland,New Year Holiday,New Year Holiday,,,2014-01-02
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2014-01-02
Norway,Søndag,Søndag,,NO,2014-01-05
Sweden,Söndag,Söndag,,SE,2014-01-05
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2014-01-06
Colombia,Día de los Reyes Magos [Epiphany],Día de los Reyes Magos [Epiphany],,CO,2014-01-06
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2014-01-06
Finland,Loppiainen,Loppiainen,,FI,2014-01-06
Italy,Epifania del Signore,Epifania del Signore,,IT,2014-01-06
Poland,Święto Trzech Króli,Święto Trzech Króli,,PL,2014-01-06
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2014-01-06
Sweden,Trettondedag jul,Trettondedag jul,,SE,2014-01-06
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2014-01-07
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2014-01-07
Norway,Søndag,Søndag,,NO,2014-01-12
Sweden,Söndag,Söndag,,SE,2014-01-12
Japan,成人の日,成人の日,,JP,2014-01-13
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,False,IN,2014-01-14
Norway,Søndag,Søndag,,NO,2014-01-19
Sweden,Söndag,Söndag,,SE,2014-01-19
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2014-01-20
Australia,Australia Day,Australia Day,,AU,2014-01-26
India,Republic Day,Republic Day,True,IN,2014-01-26
Norway,Søndag,Søndag,,NO,2014-01-26
Sweden,Söndag,Söndag,,SE,2014-01-26
Australia,Australia Day (Observed),Australia Day,,AU,2014-01-27
Norway,Søndag,Søndag,,NO,2014-02-02
Sweden,Söndag,Söndag,,SE,2014-02-02
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],,MX,2014-02-03
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],,MX,2014-02-05
New Zealand,Waitangi Day,Waitangi Day,,NZ,2014-02-06
Slovenia,Prešernov dan,Prešernov dan,,SI,2014-02-08
Norway,Søndag,Søndag,,NO,2014-02-09
Sweden,Söndag,Söndag,,SE,2014-02-09
Japan,建国記念の日,建国記念の日,,JP,2014-02-11
Norway,Søndag,Søndag,,NO,2014-02-16
Sweden,Söndag,Söndag,,SE,2014-02-16
Canada,Family Day,Family Day,,CA,2014-02-17
United States,Washington's Birthday,Washington's Birthday,True,US,2014-02-17
Norway,Søndag,Søndag,,NO,2014-02-23
Sweden,Söndag,Söndag,,SE,2014-02-23
Norway,Søndag,Søndag,,NO,2014-03-02
Sweden,Söndag,Söndag,,SE,2014-03-02
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2014-03-03
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2014-03-04
Brazil,Carnaval,Carnaval,,BR,2014-03-04
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),,BR,2014-03-05
Belarus,День женщин,День женщин,,BY,2014-03-08
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,,UA,2014-03-08
Norway,Søndag,Søndag,,NO,2014-03-09
Sweden,Söndag,Söndag,,SE,2014-03-09
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2014-03-15
Norway,Søndag,Søndag,,NO,2014-03-16
Sweden,Söndag,Söndag,,SE,2014-03-16
Ireland,St. Patrick's Day,St. Patrick's Day,,IE,2014-03-17
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2014-03-17
Northern Ireland,St. Patrick's Day,St. Patrick's Day,,,2014-03-17
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2014-03-17
Japan,春分の日,春分の日,,JP,2014-03-21
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday],Natalicio de Benito Juárez [Benito Juárez's birthday],,MX,2014-03-21
South Africa,Human Rights Day,Human Rights Day,,ZA,2014-03-21
Norway,Søndag,Søndag,,NO,2014-03-23
Sweden,Söndag,Söndag,,SE,2014-03-23
Argentina,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],,AR,2014-03-24
Colombia,Día de San José [Saint Joseph's Day](Observed),Día de San José [Saint Joseph's Day],,CO,2014-03-24
Norway,Søndag,Søndag,,NO,2014-03-30
Sweden,Söndag,Söndag,,SE,2014-03-30
Argentina,Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],,AR,2014-04-02
Norway,Søndag,Søndag,,NO,2014-04-06
Sweden,Söndag,Söndag,,SE,2014-04-06
Denmark,Palmesøndag,Palmesøndag,,DK,2014-04-13
Norway,Søndag,Søndag,,NO,2014-04-13
Sweden,Söndag,Söndag,,SE,2014-04-13
Argentina,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],,AR,2014-04-17
Colombia,Jueves Santo [Maundy Thursday],Jueves Santo [Maundy Thursday],,CO,2014-04-17
Denmark,Skærtorsdag,Skærtorsdag,,DK,2014-04-17
Norway,Skjærtorsdag,Skjærtorsdag,,NO,2014-04-17
Argentina,Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],,AR,2014-04-18
Australia,Good Friday,Good Friday,,AU,2014-04-18
Brazil,Sexta-feira Santa,Sexta-feira Santa,,BR,2014-04-18
Canada,Good Friday,Good Friday,,CA,2014-04-18
Colombia,Viernes Santo [Good Friday],Viernes Santo [Good Friday],,CO,2014-04-18
Denmark,Langfredag,Langfredag,,DK,2014-04-18
England,Good Friday,Good Friday,,,2014-04-18
Finland,Pitkäperjantai,Pitkäperjantai,,FI,2014-04-18
Germany,Karfreitag,Karfreitag,,DE,2014-04-18
Isle of Man,Good Friday,Good Friday,,IM,2014-04-18
Netherlands,Goede Vrijdag,Goede Vrijdag,,NL,2014-04-18
New Zealand,Good Friday,Good Friday,,NZ,2014-04-18
Northern Ireland,Good Friday,Good Friday,,,2014-04-18
Norway,Langfredag,Langfredag,,NO,2014-04-18
Portugal,Sexta-feira Santa,Sexta-feira Santa,,PT,2014-04-18
Scotland,Good Friday,Good Friday,,,2014-04-18
South Africa,Good Friday,Good Friday,,ZA,2014-04-18
Sweden,Långfredagen,Långfredagen,,SE,2014-04-18
Switzerland,Karfreitag,Karfreitag,,CH,2014-04-18
United Kingdom,Good Friday,Good Friday,True,GB,2014-04-18
Wales,Good Friday,Good Friday,,,2014-04-18
Argentina,Día de Pascuas [Easter Day],Día de Pascuas [Easter Day],,AR,2014-04-20
Belgium,Pasen,Pasen,,BE,2014-04-20
Brazil,Páscoa,Páscoa,,BR,2014-04-20
Croatia,Uskrs,Uskrs,,HR,2014-04-20
Denmark,Påskedag,Påskedag,,DK,2014-04-20
Finland,Pääsiäispäivä,Pääsiäispäivä,,FI,2014-04-20
Hungary,Húsvét,Húsvét,,HU,2014-04-20
Italy,Pasqua di Resurrezione,Pasqua di Resurrezione,,IT,2014-04-20
Netherlands,Eerste paasdag,Eerste paasdag,,NL,2014-04-20
Norway,"Første påskedag, Søndag","Første påskedag, Søndag",,NO,2014-04-20
Poland,Niedziela Wielkanocna,Niedziela Wielkanocna,,PL,2014-04-20
Portugal,Páscoa,Páscoa,,PT,2014-04-20
Sweden,"Påskdagen, Söndag","Påskdagen, Söndag",,SE,2014-04-20
Switzerland,Ostern,Ostern,,CH,2014-04-20
Ukraine,Пасха (Великдень),Пасха (Великдень),,UA,2014-04-20
Australia,Easter Monday,Easter Monday,,AU,2014-04-21
Austria,Ostermontag,Ostermontag,,AT,2014-04-21
Belgium,Paasmaandag,Paasmaandag,,BE,2014-04-21
Brazil,Tiradentes,Tiradentes,,BR,2014-04-21
Croatia,Uskrsni ponedjeljak,Uskrsni ponedjeljak,,HR,2014-04-21
Czech,Velikonoční pondělí,Velikonoční pondělí,,CZ,2014-04-21
Denmark,Anden påskedag,Anden påskedag,,DK,2014-04-21
England,Easter Monday,Easter Monday,,,2014-04-21
Finland,2. pääsiäispäivä,2. pääsiäispäivä,,FI,2014-04-21
France,Lundi de Pâques,Lundi de Pâques,,FR,2014-04-21
Germany,Ostermontag,Ostermontag,,DE,2014-04-21
Hungary,Húsvét Hétfő,Húsvét Hétfő,,HU,2014-04-21
Ireland,Easter Monday,Easter Monday,,IE,2014-04-21
Isle of Man,Easter Monday,Easter Monday,,IM,2014-04-21
Italy,Lunedì dell'Angelo,Lunedì dell'Angelo,,IT,2014-04-21
Netherlands,Tweede paasdag,Tweede paasdag,,NL,2014-04-21
New Zealand,Easter Monday,Easter Monday,,NZ,2014-04-21
Northern Ireland,Easter Monday,Easter Monday,,,2014-04-21
Norway,Andre påskedag,Andre påskedag,,NO,2014-04-21
Poland,Poniedziałek Wielkanocny,Poniedziałek Wielkanocny,,PL,2014-04-21
Slovenia,Velikonočni ponedeljek,Velikonočni ponedeljek,,SI,2014-04-21
South Africa,Family Day,Family Day,,ZA,2014-04-21
Sweden,Annandag påsk,Annandag påsk,,SE,2014-04-21
Switzerland,Ostermontag,Ostermontag,,CH,2014-04-21
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2014-04-21
Wales,Easter Monday,Easter Monday,,,2014-04-21
Australia,Anzac Day,Anzac Day,,AU,2014-04-25
Italy,Festa della Liberazione,Festa della Liberazione,,IT,2014-04-25
New Zealand,Anzac Day,Anzac Day,,NZ,2014-04-25
Portugal,Dia da Liberdade,Dia da Liberdade,,PT,2014-04-25
Netherlands,Koningsdag,Koningsdag,,NL,2014-04-26
Norway,Søndag,Søndag,,NO,2014-04-27
Slovenia,dan upora proti okupatorju,dan upora proti okupatorju,,SI,2014-04-27
South Africa,Freedom Day,Freedom Day,,ZA,2014-04-27
Sweden,Söndag,Söndag,,SE,2014-04-27
South Africa,Freedom Day (Observed),Freedom Day,,ZA,2014-04-28
Belarus,Радуница,Радуница,,BY,2014-04-29
Japan,昭和の日,昭和の日,,JP,2014-04-29
Argentina,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,AR,2014-05-01
Austria,Staatsfeiertag,Staatsfeiertag,,AT,2014-05-01
Belarus,Праздник труда,Праздник труда,,BY,2014-05-01
Belgium,Dag van de Arbeid,Dag van de Arbeid,,BE,2014-05-01
Brazil,Dia Mundial do Trabalho,Dia Mundial do Trabalho,,BR,2014-05-01
Colombia,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,CO,2014-05-01
Croatia,Međunarodni praznik rada,Međunarodni praznik rada,,HR,2014-05-01
Czech,Svátek práce,Svátek práce,,CZ,2014-05-01
Finland,Vappu,Vappu,,FI,2014-05-01
France,Fête du Travail,Fête du Travail,,FR,2014-05-01
Germany,Erster Mai,Erster Mai,,DE,2014-05-01
Hungary,A Munka ünnepe,A Munka ünnepe,,HU,2014-05-01
India,Labour Day,Labour Day,False,IN,2014-05-01
Italy,Festa dei Lavoratori,Festa dei Lavoratori,,IT,2014-05-01
Mexico,Día del Trabajo [Labour Day],Día del Trabajo [Labour Day],,MX,2014-05-01
Norway,Arbeidernes dag,Arbeidernes dag,,NO,2014-05-01
Poland,Święto Państwowe,Święto Państwowe,,PL,2014-05-01
Portugal,Dia do Trabalhador,Dia do Trabalhador,,PT,2014-05-01
Slovenia,praznik dela,praznik dela,,SI,2014-05-01
South Africa,Workers' Day,Workers' Day,,ZA,2014-05-01
Spain,Día del Trabajador,Día del Trabajador,,ES,2014-05-01
Sweden,Första maj,Första maj,,SE,2014-05-01
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2014-05-01
Hungary,A Munka ünnepe utáni pihenőnap,A Munka ünnepe utáni pihenőnap,,HU,2014-05-02
Slovenia,praznik dela,praznik dela,,SI,2014-05-02
Ukraine,День міжнародної солідарності трудящих,День міжнародної солідарності трудящих,,UA,2014-05-02
Japan,憲法記念日,憲法記念日,,JP,2014-05-03
Poland,Święto Narodowe Trzeciego Maja,Święto Narodowe Trzeciego Maja,,PL,2014-05-03
Japan,みどりの日,みどりの日,,JP,2014-05-04
Norway,Søndag,Søndag,,NO,2014-05-04
Sweden,Söndag,Söndag,,SE,2014-05-04
England,May Day,May Day,,,2014-05-05
Ireland,May Day,May Day,,IE,2014-05-05
Isle of Man,May Day,May Day,,IM,2014-05-05
Japan,こどもの日,こどもの日,,JP,2014-05-05
Northern Ireland,May Day,May Day,,,2014-05-05
Scotland,May Day,May Day,,,2014-05-05
United Kingdom,May Day,May Day,True,GB,2014-05-05
Wales,May Day,May Day,,,2014-05-05
Japan,振替休日,振替休日,,JP,2014-05-06
South Africa,National and provincial government elections,National and provincial government elections,,ZA,2014-05-07
Czech,Den vítězství,Den vítězství,,CZ,2014-05-08
France,Armistice 1945,Armistice 1945,,FR,2014-05-08
Belarus,День Победы,День Победы,,BY,2014-05-09
Ukraine,День перемоги,День перемоги,,UA,2014-05-09
Norway,Søndag,Søndag,,NO,2014-05-11
Sweden,Söndag,Söndag,,SE,2014-05-11
Denmark,Store bededag,Store bededag,,DK,2014-05-16
Norway,Grunnlovsdag,Grunnlovsdag,,NO,2014-05-17
Norway,Søndag,Søndag,,NO,2014-05-18
Sweden,Söndag,Söndag,,SE,2014-05-18
Canada,Victoria Day,Victoria Day,,CA,2014-05-19
Argentina,Día de la Revolucion de Mayo [May Revolution Day],Día de la Revolucion de Mayo [May Revolution Day],,AR,2014-05-25
Norway,Søndag,Søndag,,NO,2014-05-25
Sweden,Söndag,Söndag,,SE,2014-05-25
England,Spring Bank Holiday,Spring Bank Holiday,,,2014-05-26
Isle of Man,Spring Bank Holiday,Spring Bank Holiday,,IM,2014-05-26
Northern Ireland,Spring Bank Holiday,Spring Bank Holiday,,,2014-05-26
Scotland,Spring Bank Holiday,Spring Bank Holiday,,,2014-05-26
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,True,GB,2014-05-26
United States,Memorial Day,Memorial Day,True,US,2014-05-26
Wales,Spring Bank Holiday,Spring Bank Holiday,,,2014-05-26
Austria,Christi Himmelfahrt,Christi Himmelfahrt,,AT,2014-05-29
Belgium,O.L.H. Hemelvaart,O.L.H. Hemelvaart,,BE,2014-05-29
Denmark,Kristi himmelfartsdag,Kristi himmelfartsdag,,DK,2014-05-29
Finland,Helatorstai,Helatorstai,,FI,2014-05-29
France,Ascension,Ascension,,FR,2014-05-29
Germany,Christi Himmelfahrt,Christi Himmelfahrt,,DE,2014-05-29
Netherlands,Hemelvaart,Hemelvaart,,NL,2014-05-29
Norway,Kristi himmelfartsdag,Kristi himmelfartsdag,,NO,2014-05-29
Sweden,Kristi himmelsfärdsdag,Kristi himmelsfärdsdag,,SE,2014-05-29
Switzerland,Auffahrt,Auffahrt,,CH,2014-05-29
Norway,Søndag,Søndag,,NO,2014-06-01
Sweden,Söndag,Söndag,,SE,2014-06-01
Colombia,Ascensión del señor [Ascension of Jesus](Observed),Ascensión del señor [Ascension of Jesus],,CO,2014-06-02
Ireland,June Bank Holiday,June Bank Holiday,,IE,2014-06-02
Italy,Festa della Repubblica,Festa della Repubblica,,IT,2014-06-02
New Zealand,Queen's Birthday,Queen's Birthday,,NZ,2014-06-02
Isle of Man,TT Bank Holiday,TT Bank Holiday,,IM,2014-06-06
Sweden,Sveriges nationaldag,Sveriges nationaldag,,SE,2014-06-06
Belgium,Pinksteren,Pinksteren,,BE,2014-06-08
Denmark,Pinsedag,Pinsedag,,DK,2014-06-08
Finland,Helluntaipäivä,Helluntaipäivä,,FI,2014-06-08
Hungary,Pünkösd,Pünkösd,,HU,2014-06-08
Netherlands,Eerste Pinksterdag,Eerste Pinksterdag,,NL,2014-06-08
Norway,"Første pinsedag, Søndag","Første pinsedag, Søndag",,NO,2014-06-08
Poland,Zielone Świątki,Zielone Świątki,,PL,2014-06-08
Sweden,"Pingstdagen, Söndag","Pingstdagen, Söndag",,SE,2014-06-08
Switzerland,Pfingsten,Pfingsten,,CH,2014-06-08
Ukraine,Трійця,Трійця,,UA,2014-06-08
Austria,Pfingstmontag,Pfingstmontag,,AT,2014-06-09
Belgium,Pinkstermaandag,Pinkstermaandag,,BE,2014-06-09
Denmark,Anden pinsedag,Anden pinsedag,,DK,2014-06-09
France,Lundi de Pentecôte,Lundi de Pentecôte,,FR,2014-06-09
Germany,Pfingstmontag,Pfingstmontag,,DE,2014-06-09
Hungary,Pünkösdhétfő,Pünkösdhétfő,,HU,2014-06-09
Netherlands,Tweede Pinksterdag,Tweede Pinksterdag,,NL,2014-06-09
Norway,Andre pinsedag,Andre pinsedag,,NO,2014-06-09
Switzerland,Pfingstmontag,Pfingstmontag,,CH,2014-06-09
Portugal,Dia de Portugal,Dia de Portugal,,PT,2014-06-10
Norway,Søndag,Søndag,,NO,2014-06-15
Sweden,Söndag,Söndag,,SE,2014-06-15
South Africa,Youth Day,Youth Day,,ZA,2014-06-16
Argentina,Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],,AR,2014-06-17
Austria,Fronleichnam,Fronleichnam,,AT,2014-06-19
Brazil,Corpus Christi,Corpus Christi,,BR,2014-06-19
Croatia,Tijelovo,Tijelovo,,HR,2014-06-19
Poland,Dzień Bożego Ciała,Dzień Bożego Ciała,,PL,2014-06-19
Argentina,Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],,AR,2014-06-20
Finland,Juhannusaatto,Juhannusaatto,,FI,2014-06-20
Sweden,Midsommarafton,Midsommarafton,,SE,2014-06-20
Finland,Juhannuspäivä,Juhannuspäivä,,FI,2014-06-21
Sweden,Midsommardagen,Midsommardagen,,SE,2014-06-21
Croatia,Dan antifašističke borbe,Dan antifašističke borbe,,HR,2014-06-22
Norway,Søndag,Søndag,,NO,2014-06-22
Sweden,Söndag,Söndag,,SE,2014-06-22
Colombia,Corpus Christi [Corpus Christi](Observed),Corpus Christi [Corpus Christi],,CO,2014-06-23
Croatia,Dan državnosti,Dan državnosti,,HR,2014-06-25
Slovenia,dan državnosti,dan državnosti,,SI,2014-06-25
Ukraine,День Конституції України,День Конституції України,,UA,2014-06-28
Norway,Søndag,Søndag,,NO,2014-06-29
Sweden,Söndag,Söndag,,SE,2014-06-29
Colombia,"Sagrado Corazón [Sacred Heart](Observed), San Pedro y San Pablo [Saint Peter and Saint Paul](Observed)","Sagrado Corazón [Sacred Heart], San Pedro y San Pablo [Saint Peter and Saint Paul]",,CO,2014-06-30
Canada,Canada Day,Canada Day,,CA,2014-07-01
Belarus,День Независимости Республики Беларусь (День Республики),День Независимости Республики Беларусь (День Республики),,BY,2014-07-03
United States,Independence Day,Independence Day,True,US,2014-07-04
